Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,74.269997,74.400002,72.160004,73.220001,70.245407,17891100
2018-04-03,73.449997,75.139999,73.099998,75.019997,71.972282,15999200
2018-04-04,74.050003,75.059998,73.440002,74.870003,71.828377,13122200
2018-04-05,75.059998,76.320000,75.019997,76.019997,72.931656,14200000
2018-04-06,75.639999,76.120003,74.220001,74.870003,71.828377,14299600
2018-04-09,75.220001,75.790001,74.800003,74.870003,71.828377,11103100
2018-04-10,76.080002,77.769997,76.059998,77.070000,73.939003,19006100
2018-04-11,77.110001,78.040001,76.750000,77.430000,74.284378,13734000
2018-04-12,77.860001,78.139999,77.010002,77.220001,74.082901,13270400
2018-04-13,77.800003,78.190002,77.599998,77.839996,74.677711,10925000
2018-04-16,78.120003,79.080002,77.709999,78.540001,75.349281,10743600
2018-04-17,78.540001,78.760002,78.040001,78.330002,75.147812,9340700
2018-04-18,79.040001,79.760002,78.940002,79.220001,76.001656,12061400
2018-04-19,79.320000,79.820000,78.809998,79.419998,76.193527,11291500
2018-04-20,79.320000,79.400002,78.330002,79.000000,75.790588,12072200
2018-04-23,78.919998,79.599998,78.750000,79.570000,76.337440,11729800
2018-04-24,79.800003,79.930000,77.970001,78.349998,75.166992,14102000
2018-04-25,78.199997,79.620003,77.489998,79.500000,76.270279,13867500
2018-04-26,79.599998,80.900002,79.529999,80.860001,77.575027,14554400
2018-04-27,76.949997,78.650002,76.480003,77.790001,74.629753,16346800
2018-04-30,77.910004,78.559998,77.739998,77.750000,74.591370,15028800
2018-05-01,77.260002,77.260002,75.980003,76.949997,73.823875,16231000
2018-05-02,76.449997,77.230003,76.300003,76.800003,73.679977,13883700
2018-05-03,76.389999,76.610001,75.400002,76.540001,73.430534,12243100
2018-05-04,76.129997,77.220001,75.940002,76.900002,73.775902,9887200
2018-05-07,77.739998,79.080002,77.400002,77.739998,74.581779,15071500
2018-05-08,77.800003,78.160004,76.370003,78.089996,74.917557,17430400
2018-05-09,78.980003,80.239998,78.949997,79.930000,76.682808,17142100
2018-05-10,80.639999,81.790001,80.500000,81.720001,78.400093,17710300
2018-05-11,81.180000,81.970001,80.910004,81.279999,78.768349,14751000
2018-05-14,81.699997,82.320000,81.610001,81.830002,79.301361,11852100
2018-05-15,81.849998,82.029999,81.400002,81.790001,79.262589,12595700
2018-05-16,81.760002,82.050003,81.169998,82.019997,79.485474,9570000
2018-05-17,82.199997,82.279999,81.440002,81.879997,79.349808,11224100
2018-05-18,81.550003,81.800003,81.260002,81.300003,78.787735,10030900
2018-05-21,81.730003,82.349998,81.519997,82.279999,79.737442,8822400
2018-05-22,82.440002,82.650002,81.349998,81.639999,79.117226,10753400
2018-05-23,80.949997,82.230003,80.570000,82.150002,79.611465,15140900
2018-05-24,81.349998,81.360001,79.949997,80.269997,77.789551,13360500
2018-05-25,79.279999,79.330002,78.089996,78.709999,76.277763,14562000
2018-05-29,78.150002,78.730003,77.529999,78.419998,75.996727,14644800
2018-05-30,79.250000,81.660004,79.220001,81.500000,78.981544,16627500
2018-05-31,80.809998,81.550003,80.690002,81.239998,78.729576,15803100
2018-06-01,81.870003,82.349998,81.550003,81.830002,79.301361,9906100
2018-06-04,82.050003,82.529999,80.809998,80.970001,78.467926,10954700
2018-06-05,80.589996,81.650002,80.410004,80.680000,78.186882,12059300
2018-06-06,81.480003,82.089996,80.870003,82.059998,79.524239,11603300
2018-06-07,82.730003,83.290001,82.559998,82.879997,80.318909,13502500
2018-06-08,83.110001,83.660004,82.500000,83.599998,81.016655,14350400
2018-06-11,83.720001,83.790001,82.930000,83.099998,80.532104,10831600
2018-06-12,83.110001,83.750000,82.320000,82.419998,79.873123,12351800
2018-06-13,82.440002,82.599998,81.470001,81.510002,78.991249,12049300
2018-06-14,81.940002,82.300003,81.500000,81.889999,79.359497,11477300
2018-06-15,81.720001,81.820000,80.510002,80.660004,78.167511,23797500
2018-06-18,80.400002,81.379997,80.300003,80.820000,78.322563,9192600
2018-06-19,79.889999,80.959999,79.709999,80.699997,78.206276,8759700
2018-06-20,80.849998,81.129997,80.269997,80.449997,77.963997,8917700
2018-06-21,80.019997,80.379997,79.330002,79.690002,77.227478,10990700
2018-06-22,81.160004,81.940002,80.919998,81.379997,78.865257,16012200
2018-06-25,80.779999,81.239998,79.300003,79.739998,77.275932,10557200
2018-06-26,80.150002,81.010002,79.970001,80.639999,78.148125,10382800
2018-06-27,81.059998,82.480003,81.059998,81.709999,79.185059,12725900
2018-06-28,81.730003,82.070000,81.029999,81.970001,79.437027,9390700
2018-06-29,82.449997,83.540001,82.290001,82.730003,80.173546,17323200
2018-07-02,81.889999,82.129997,81.320000,81.760002,79.233521,9998300
2018-07-03,82.580002,83.449997,82.080002,82.239998,79.698685,7197300
2018-07-05,82.589996,82.769997,82.050003,82.309998,79.766510,9035700
2018-07-06,81.959999,82.699997,81.660004,82.330002,79.785912,7637100
2018-07-09,82.809998,83.129997,82.559998,82.900002,80.338295,7158600
2018-07-10,83.699997,84.120003,83.510002,83.660004,81.074806,8806200
2018-07-11,83.029999,83.529999,82.029999,82.589996,80.037865,10405300
2018-07-12,83.010002,83.239998,82.309998,82.690002,80.134781,9762200
2018-07-13,82.680000,83.750000,82.559998,83.309998,80.735619,8720000
2018-07-16,82.519997,82.790001,82.000000,82.489998,79.940956,8306900
2018-07-17,82.260002,82.750000,82.040001,82.309998,79.766510,7373300
2018-07-18,81.800003,82.320000,81.489998,82.220001,79.679298,8711900
2018-07-19,82.199997,82.620003,81.720001,82.010002,79.475800,8659100
2018-07-20,81.720001,81.930000,81.250000,81.400002,78.884644,9196300
2018-07-23,81.949997,82.000000,81.180000,81.400002,78.884644,8425900
2018-07-24,81.519997,83.019997,81.480003,83.010002,80.444893,11121000
2018-07-25,83.010002,83.739998,82.510002,83.589996,81.006958,9523600
2018-07-26,83.830002,84.400002,83.370003,84.239998,81.636879,13210100
2018-07-27,80.970001,82.379997,80.809998,81.919998,79.388573,18220800
2018-07-30,82.129997,82.129997,80.709999,81.739998,79.214127,11282800
2018-07-31,81.639999,82.150002,81.440002,81.510002,78.991249,11716800
2018-08-01,80.889999,80.930000,80.220001,80.389999,77.905853,8936300
2018-08-02,79.889999,80.260002,79.449997,79.910004,77.440689,8364300
2018-08-03,79.970001,80.300003,79.629997,80.199997,77.721718,7811100
2018-08-06,80.250000,80.430000,79.739998,80.180000,77.702339,10041800
2018-08-07,80.910004,81.589996,80.309998,81.269997,78.758659,10698100
2018-08-08,81.019997,81.230003,80.349998,80.730003,78.235352,7275000
2018-08-09,80.730003,80.910004,80.110001,80.320000,77.838013,9826800
2018-08-10,79.510002,79.519997,78.860001,79.419998,77.759682,12954300
2018-08-13,79.449997,79.750000,78.430000,78.559998,76.917664,10308500
2018-08-14,78.989998,79.070000,78.080002,78.309998,76.672890,8005900
2018-08-15,77.779999,77.900002,76.510002,76.940002,75.331528,16307800
2018-08-16,77.279999,78.099998,77.199997,78.000000,76.369370,11519900
2018-08-17,78.339996,78.489998,77.800003,78.260002,76.623940,10178400
2018-08-20,78.260002,79.000000,78.169998,78.809998,77.162437,8152100
2018-08-21,79.050003,79.580002,78.669998,78.830002,77.182022,9192200
2018-08-22,79.110001,80.050003,79.019997,79.959999,78.288391,10098200
2018-08-23,79.559998,79.629997,78.900002,79.080002,77.426788,7203900
2018-08-24,79.519997,80.050003,79.419998,79.620003,77.955505,6545200
2018-08-27,79.910004,80.470001,79.860001,80.400002,78.719200,6671900
2018-08-28,80.580002,80.820000,80.199997,80.279999,78.601700,8823400
2018-08-29,80.440002,81.040001,80.099998,80.860001,79.169586,8004800
2018-08-30,80.449997,80.779999,80.120003,80.510002,78.826897,7450900
2018-08-31,80.239998,80.459999,79.769997,80.169998,78.494003,10700000
2018-09-04,80.410004,80.690002,79.809998,80.290001,78.611496,8855000
2018-09-05,79.900002,81.430000,79.599998,81.360001,79.659126,13878400
2018-09-06,81.110001,81.639999,80.339996,80.459999,78.777939,13320600
2018-09-07,80.150002,81.930000,79.820000,81.830002,80.119308,16417800
2018-09-10,82.239998,82.739998,81.660004,81.709999,80.001808,10817900
2018-09-11,81.959999,83.190002,81.629997,82.860001,81.127769,11891900
2018-09-12,83.250000,83.779999,82.870003,83.129997,81.392128,11556300
2018-09-13,83.150002,83.250000,82.010002,82.320000,80.599052,11162700
2018-09-14,82.419998,83.150002,82.269997,82.919998,81.186516,9442600
2018-09-17,83.000000,83.610001,82.989998,83.410004,81.666275,8403300
2018-09-18,83.900002,84.129997,83.449997,83.629997,81.881668,9219900
2018-09-19,83.639999,84.769997,83.639999,84.629997,82.860764,10413600
2018-09-20,84.860001,85.339996,84.540001,84.820000,83.046791,11198200
2018-09-21,85.010002,85.430000,84.519997,85.169998,83.389481,26639400
2018-09-24,85.790001,87.089996,85.720001,86.599998,84.789581,13549500
2018-09-25,87.029999,87.360001,86.370003,86.500000,84.691673,12200700
2018-09-26,86.019997,86.500000,85.690002,85.779999,83.986725,10275500
2018-09-27,86.089996,86.379997,85.589996,85.769997,83.976929,7895400
2018-09-28,85.250000,85.930000,84.989998,85.019997,83.242615,9884900
2018-10-01,85.349998,86.029999,85.260002,85.809998,84.016098,8566900
2018-10-02,85.800003,86.669998,85.620003,86.459999,84.652504,8453100
2018-10-03,86.510002,86.889999,85.980003,86.150002,84.348991,10206700
2018-10-04,85.500000,86.080002,85.250000,85.580002,83.790909,10204600
2018-10-05,85.309998,85.699997,84.930000,85.339996,83.555916,9217400
2018-10-08,84.790001,86.309998,84.650002,86.129997,84.329407,13242400
2018-10-09,86.379997,86.879997,85.739998,86.510002,84.701462,10177900
2018-10-10,86.730003,86.820000,84.500000,84.519997,82.753059,16573400
2018-10-11,83.940002,84.169998,81.169998,81.599998,79.894112,20320100
2018-10-12,82.129997,82.239998,80.269997,81.379997,79.678703,15216300
2018-10-15,81.379997,81.739998,80.820000,80.820000,79.130417,10558800
2018-10-16,80.510002,81.269997,80.010002,81.199997,79.502464,9781800
2018-10-17,80.940002,81.519997,80.339996,81.500000,79.796204,12247700
2018-10-18,81.199997,82.470001,81.199997,81.849998,80.138885,17448600
2018-10-19,81.660004,82.459999,81.510002,81.970001,80.256378,12098700
2018-10-22,82.000000,82.180000,80.639999,81.150002,79.453514,9474100
2018-10-23,80.059998,80.459999,78.720001,79.839996,78.170906,15465100
2018-10-24,80.129997,80.260002,77.550003,77.620003,75.997322,16085700
2018-10-25,78.489998,79.050003,77.739998,78.309998,76.672890,12315500
2018-10-26,77.870003,78.410004,76.959999,77.529999,75.909195,18160100
2018-10-29,78.070000,78.430000,76.220001,77.050003,75.439232,15707000
2018-10-30,77.620003,79.029999,77.419998,78.779999,77.133064,17758200
2018-10-31,79.339996,80.349998,78.900002,79.680000,78.014252,16629100
2018-11-01,79.830002,80.750000,79.300003,80.669998,78.983551,14159300
2018-11-02,81.760002,82.449997,80.230003,81.949997,80.236794,19350400
2018-11-05,82.500000,82.870003,81.440002,81.639999,79.933273,15815000
2018-11-06,81.739998,82.099998,81.349998,81.989998,80.275955,9063200
2018-11-07,82.209999,83.139999,81.660004,83.029999,81.294220,12699800
2018-11-08,83.129997,83.750000,81.540001,81.709999,80.001808,16865500
2018-11-09,80.260002,81.400002,79.690002,80.870003,79.982033,15070100
2018-11-12,81.660004,81.730003,79.730003,79.830002,78.953453,11906600
2018-11-13,79.800003,79.849998,77.639999,78.000000,77.143547,15530200
2018-11-14,78.860001,79.089996,76.750000,77.389999,76.540245,18552100
2018-11-15,76.669998,78.190002,75.910004,78.190002,77.331459,18976000
2018-11-16,78.370003,79.190002,78.099998,78.959999,78.093002,13704900
2018-11-19,78.459999,79.360001,78.430000,79.220001,78.350151,9430800
2018-11-20,78.419998,78.900002,76.370003,76.970001,76.124855,15533700
2018-11-21,77.430000,78.379997,77.260002,77.559998,76.708374,9685300
2018-11-23,76.050003,76.199997,74.699997,75.489998,74.661102,10875400
2018-11-26,76.239998,77.320000,76.120003,76.980003,76.134750,13741100
2018-11-27,76.570000,77.449997,76.400002,77.050003,76.203979,10344500
2018-11-28,77.040001,78.449997,76.839996,78.449997,77.588600,11482100
2018-11-29,78.220001,79.529999,78.190002,79.059998,78.191902,10255200
2018-11-30,78.449997,79.599998,78.320000,79.500000,78.627075,14040100
2018-12-03,80.239998,81.459999,80.139999,81.220001,80.328194,19415100
2018-12-04,81.379997,81.949997,79.349998,79.430000,78.557846,18540700
2018-12-06,78.000000,78.440002,76.919998,78.389999,77.529259,23218100
2018-12-07,79.389999,80.360001,77.330002,77.639999,76.787498,16224700
2018-12-10,77.860001,77.860001,74.800003,76.540001,75.699577,17946200
2018-12-11,77.699997,77.800003,75.680000,76.680000,75.838043,15742400
2018-12-12,78.040001,78.199997,76.019997,76.019997,75.185280,14559800
2018-12-13,76.029999,77.220001,75.949997,76.980003,76.134750,13749700
2018-12-14,76.720001,76.870003,75.089996,75.580002,74.750122,12669300
2018-12-17,75.260002,75.599998,73.480003,74.040001,73.227028,15464100
2018-12-18,73.629997,73.860001,71.620003,72.000000,71.209427,18681200
2018-12-19,72.449997,73.269997,70.300003,70.779999,70.002823,21679600
2018-12-20,70.089996,70.660004,68.050003,68.629997,67.876427,28723700
2018-12-21,68.139999,70.370003,67.669998,68.120003,67.372032,47287300
2018-12-24,66.870003,67.529999,65.440002,65.510002,64.790688,14262800
2018-12-26,66.180000,68.660004,64.650002,68.639999,67.886322,24887700
2018-12-27,67.739998,68.940002,66.080002,68.940002,68.183029,22077000
2018-12-28,69.180000,69.580002,67.820000,68.169998,67.421478,19710600
2018-12-31,68.320000,69.150002,67.660004,68.190002,67.441261,15807000
2019-01-02,67.349998,69.870003,67.260002,69.690002,68.924789,16727200
2019-01-03,70.000000,70.250000,68.360001,68.620003,67.866539,13866100
2019-01-04,69.639999,71.269997,69.360001,71.150002,70.368759,16043600
2019-01-07,71.250000,72.099998,70.739998,71.519997,70.734695,10844200
2019-01-08,72.540001,72.589996,71.940002,72.040001,71.248985,11439000
2019-01-09,72.599998,72.599998,71.650002,72.419998,71.624809,13473500
2019-01-10,72.070000,72.080002,71.120003,72.050003,71.258881,13151100
2019-01-11,71.849998,71.889999,71.070000,71.720001,70.932503,9790100
2019-01-14,71.209999,71.779999,71.120003,71.629997,70.843483,11012400
2019-01-15,71.949997,72.360001,71.320000,71.669998,70.883049,10298300
2019-01-16,71.419998,72.379997,71.309998,71.639999,70.853378,12595600
2019-01-17,71.190002,72.339996,70.900002,72.129997,71.337997,10141700
2019-01-18,73.269997,73.290001,72.129997,72.989998,72.188553,15759200
2019-01-22,72.389999,72.709999,71.680000,71.889999,71.100632,15035600
2019-01-23,72.010002,72.300003,70.930000,71.300003,70.517113,13187200
2019-01-24,71.099998,71.970001,70.639999,71.400002,70.616013,11272500
2019-01-25,72.070000,72.269997,71.540001,71.720001,70.932503,8996200
2019-01-28,71.019997,71.279999,70.370003,71.239998,70.457771,13678400
2019-01-29,71.699997,72.190002,71.480003,71.510002,70.724808,10513200
2019-01-30,71.769997,72.570000,71.510002,72.290001,71.496246,11524700
2019-01-31,72.290001,73.489998,72.019997,73.279999,72.475372,19876700
2019-02-01,74.919998,76.489998,74.320000,75.919998,75.086380,22968700
2019-02-04,75.760002,75.760002,74.400002,74.820000,73.998459,15483800
2019-02-05,75.180000,75.639999,75.010002,75.589996,74.760002,12786700
2019-02-06,75.580002,75.769997,75.129997,75.260002,74.433632,10866900
2019-02-07,74.949997,75.190002,73.900002,74.680000,73.860001,14418900
2019-02-08,73.760002,74.070000,72.730003,73.980003,73.980003,11959500
2019-02-11,73.879997,74.220001,73.400002,74.099998,74.099998,10434800
2019-02-12,75.080002,75.449997,74.820000,75.400002,75.400002,12599200
2019-02-13,75.580002,76.540001,75.510002,76.250000,76.250000,13214600
2019-02-14,76.260002,76.650002,75.709999,76.269997,76.269997,12772900
2019-02-15,76.940002,77.760002,76.750000,77.709999,77.709999,14330300
2019-02-19,77.559998,78.480003,77.449997,78.230003,78.230003,13551500
2019-02-20,78.300003,78.809998,78.000000,78.529999,78.529999,12633100
2019-02-21,78.209999,78.660004,77.610001,77.820000,77.820000,10266000
2019-02-22,78.709999,78.949997,77.620003,78.419998,78.419998,9519300
